date,day_of_week,month,year,week_of_year,Getränke_sales,Getränke_count,Speisen_sales,Speisen_count,Sonstiges_sales,Sonstiges_count,Milchmischgetränke_sales,Milchmischgetränke_count,Röstkaffee_sales,Röstkaffee_count,Kaffee_sales,Kaffee_count
2021-06-03,Thursday,June,2021,22,1100.2,789.0,182.00,54,299.90,23,436.00,396,252.90,20,161.60,94
2021-06-04,Friday,June,2021,22,1098.2,704.0,242.40,72,718.50,47,539.60,405,570.50,41,253.60,175
2021-06-05,Saturday,June,2021,22,1208.8,792.0,304.40,85,557.90,46,707.20,471,548.40,45,271.80,207
2021-06-06,Sunday,June,2021,22,868.37,495.0,289.40,76,259.23,21,513.00,259,216.43,18,152.40,124
2021-06-07,Monday,June,2021,23,591.4,351.0,86.60,29,295.60,25,321.80,222,261.60,21,98.00,64
2021-06-08,Tuesday,June,2021,23,551.4,338.0,104.80,34,260.50,16,280.60,208,260.50,16,93.80,46
2021-06-09,Wednesday,June,2021,23,630.4,352.0,161.20,54,226.40,17,396.20,194,202.40,15,130.60,75
2021-06-10,Thursday,June,2021,23,653.8,308.0,88.60,33,165.00,14,420.00,180,165.00,14,88.20,80
2021-06-11,Friday,June,2021,23,1000.02,503.0,223.00,73,430.20,31,511.20,262,420.20,30,173.60,119
2021-06-12,Saturday,June,2021,23,1303.4,626.0,363.20,102,791.50,37,662.20,342,531.50,36,180.20,131
2021-06-13,Sunday,June,2021,23,931.6,409.0,202.20,55,176.80,16,496.60,184,160.30,14,103.20,124
2021-06-14,Monday,June,2021,24,651.6,298.0,137.00,46,141.70,11,306.20,162,141.70,11,111.20,59
2021-06-15,Tuesday,June,2021,24,625.6,355.0,95.40,34,350.50,20,303.40,181,312.50,18,126.20,88
2021-06-16,Wednesday,June,2021,24,668.0,324.0,105.10,39,432.70,33,350.60,148,360.70,30,77.00,94
2021-06-17,Thursday,June,2021,24,561.2,272.0,121.60,41,254.00,19,219.00,146,219.00,15,97.60,54
2021-06-18,Friday,June,2021,24,769.6,299.0,160.40,48,229.50,15,371.20,157,192.50,14,109.20,54
2021-06-19,Saturday,June,2021,24,923.6,440.0,249.00,76,382.00,29,446.00,277,375.00,28,143.00,79
2021-06-20,Sunday,June,2021,24,992.8,389.0,264.80,73,224.50,18,427.80,188,224.50,18,179.60,74
2021-06-21,Monday,June,2021,25,675.4,295.0,113.00,36,266.50,18,294.60,148,238.50,17,100.00,65
2021-06-22,Tuesday,June,2021,25,734.8,294.0,155.20,53,271.90,23,341.80,140,217.40,17,159.80,72
2021-06-23,Wednesday,June,2021,25,582.4,273.0,144.60,47,367.30,24,321.00,149,297.30,22,98.60,70
2021-06-24,Thursday,June,2021,25,732.8,364.0,144.00,51,221.50,17,419.80,220,184.50,16,123.20,76
2021-06-25,Friday,June,2021,25,804.8,366.0,176.20,56,376.50,27,442.20,185,376.50,27,146.00,61
2021-06-26,Saturday,June,2021,25,1309.0,587.0,339.20,102,466.50,33,671.00,321,457.00,32,249.60,138
2021-06-27,Sunday,June,2021,25,1073.4,400.0,289.00,84,267.00,20,521.20,190,239.00,19,190.60,95
2021-06-28,Monday,June,2021,26,768.6,324.0,192.20,62,281.00,18,291.60,138,281.00,18,180.60,78
2021-06-29,Tuesday,June,2021,26,556.4,226.0,149.00,49,223.00,15,249.20,119,188.00,14,114.80,49
2021-06-30,Wednesday,June,2021,26,857.0,304.0,123.40,43,134.00,8,478.60,169,109.00,7,126.00,57
2021-07-01,Thursday,July,2021,26,905.6,345.0,201.80,70,336.00,24,463.40,174,336.00,24,116.80,65
2021-07-02,Friday,July,2021,26,1306.2,488.0,312.60,92,662.30,46,648.40,261,662.30,46,208.40,94
2021-07-03,Saturday,July,2021,26,1412.2,636.0,378.40,115,538.90,36,695.40,360,391.40,30,203.40,125
2021-07-04,Sunday,July,2021,26,1053.2,350.0,312.80,86,214.00,17,521.80,168,209.00,16,180.00,73
2021-07-05,Monday,July,2021,27,761.2,285.0,150.80,50,211.50,16,405.20,160,211.50,16,130.20,57
2021-07-06,Tuesday,July,2021,27,841.6,315.0,185.40,62,431.00,29,403.00,140,431.00,29,159.60,76
2021-07-07,Wednesday,July,2021,27,624.0,244.0,136.40,45,348.90,22,368.20,147,249.40,18,119.00,52
2021-07-08,Thursday,July,2021,27,854.0,341.0,205.80,67,417.00,28,413.40,154,342.00,24,159.00,92
2021-07-09,Friday,July,2021,27,1056.6,522.0,310.00,98,612.40,45,470.20,193,567.40,42,101.60,182
2021-07-10,Saturday,July,2021,27,1288.0,437.0,397.20,118,696.50,43,675.00,247,653.50,40,221.20,83
2021-07-11,Sunday,July,2021,27,1221.2,434.0,332.20,99,387.50,28,718.60,229,368.50,26,249.40,126
2021-07-12,Monday,July,2021,28,672.4,276.0,172.40,61,169.00,10,273.00,126,169.00,10,73.60,54
2021-07-13,Tuesday,July,2021,28,644.4,282.0,174.00,60,207.70,18,367.60,149,192.70,15,98.00,64
2021-07-14,Wednesday,July,2021,28,925.6,353.0,194.40,67,264.70,22,490.60,171,264.70,22,94.60,55
2021-07-15,Thursday,July,2021,28,875.6,348.0,184.40,62,223.00,16,496.20,192,223.00,16,180.60,79
2021-07-16,Friday,July,2021,28,1036.8,377.0,294.20,90,414.50,32,439.00,140,371.50,28,186.40,105
2021-07-17,Saturday,July,2021,28,1407.4,598.0,474.60,136,705.00,45,850.40,388,690.00,43,211.60,106
2021-07-18,Sunday,July,2021,28,1295.2,514.0,353.60,105,187.50,12,713.00,263,187.50,12,131.40,95
2021-07-19,Monday,July,2021,29,831.6,350.0,189.00,63,216.15,18,448.60,162,200.00,16,149.80,78
2021-07-20,Tuesday,July,2021,29,901.8,377.0,233.00,81,584.70,33,460.00,180,584.70,33,112.00,91
2021-07-21,Wednesday,July,2021,29,848.6,301.0,186.80,62,209.50,15,400.40,131,209.50,15,127.60,64
2021-07-22,Thursday,July,2021,29,884.4,320.0,170.60,57,477.20,35,390.60,140,465.20,33,108.00,58
2021-07-23,Friday,July,2021,29,986.6,485.0,263.20,80,325.20,22,362.00,227,315.20,21,213.20,132
2021-07-24,Saturday,July,2021,29,1242.4,469.0,339.60,99,728.00,49,533.00,198,630.00,45,182.00,100
2021-07-25,Sunday,July,2021,29,1047.2,412.0,392.40,116,223.50,15,577.20,207,203.50,13,155.40,90
2021-07-26,Monday,July,2021,30,912.0,330.0,166.00,57,282.50,19,462.80,157,272.50,18,150.80,63
2021-07-27,Tuesday,July,2021,30,1157.8,399.0,210.80,72,428.50,31,503.00,158,380.50,27,150.80,73
2021-07-28,Wednesday,July,2021,30,884.0,334.0,211.20,72,485.00,33,490.80,173,343.00,25,133.40,72
2021-07-29,Thursday,July,2021,30,1080.6,399.0,246.40,84,355.00,24,555.80,198,345.50,23,136.40,70
2021-07-30,Friday,July,2021,30,1092.4,472.0,296.40,98,299.20,20,493.00,194,193.20,16,223.00,111
2021-07-31,Saturday,July,2021,30,1249.6,1015.0,830.80,244,792.40,52,1339.80,529,598.90,44,419.80,229
2021-08-01,Sunday,August,2021,30,1249.6,0.0,0,0,0,0,0,0,0,0,0,0
2021-08-02,Monday,August,2021,31,1000.4,394.0,199.60,70,266.20,21,504.60,202,236.20,18,194.00,93
2021-08-03,Tuesday,August,2021,31,869.2,321.0,285.20,99,351.00,23,502.20,174,301.00,21,165.60,86
2021-08-04,Wednesday,August,2021,31,1052.8,445.0,251.60,86,525.00,36,477.60,218,515.00,35,236.60,100
2021-08-05,Thursday,August,2021,31,852.8,351.0,180.60,61,321.40,25,312.20,172,270.90,22,136.80,59
2021-08-06,Friday,August,2021,31,1106.8,443.0,297.00,92,368.50,27,540.00,194,368.50,27,129.40,92
2021-08-07,Saturday,August,2021,31,1105.2,421.0,355.40,110,437.50,31,547.20,220,391.00,29,209.00,92
2021-08-08,Sunday,August,2021,31,1259.4,506.0,408.60,122,125.50,8,480.60,206,90.50,7,210.80,116
2021-08-09,Monday,August,2021,32,924.8,347.0,174.60,60,258.50,21,444.60,171,258.50,21,140.60,74
2021-08-10,Tuesday,August,2021,32,890.4,353.0,191.80,66,219.50,17,345.40,137,205.00,16,150.40,82
2021-08-11,Wednesday,August,2021,32,808.2,347.0,176.40,61,432.50,32,300.00,129,376.50,30,172.80,96
2021-08-12,Thursday,August,2021,32,818.2,308.0,154.60,56,414.50,32,280.00,102,414.50,32,101.00,59
2021-08-13,Friday,August,2021,32,799.8,302.0,168.60,50,337.80,26,319.60,133,291.30,22,107.20,56
2021-08-14,Saturday,August,2021,32,1090.2,376.0,288.60,86,371.30,29,528.60,191,361.30,28,148.40,76
2021-08-15,Sunday,August,2021,32,851.2,289.0,275.20,84,266.00,17,314.00,114,231.50,15,132.20,58
2021-08-16,Monday,August,2021,33,1015.8,387.0,294.20,99,303.50,25,401.40,157,294.00,24,213.20,96
2021-08-17,Tuesday,August,2021,33,963.6,379.0,263.40,89,462.00,31,530.60,193,376.00,26,220.00,98
2021-08-18,Wednesday,August,2021,33,1046.6,399.0,247.20,86,346.00,25,512.00,176,346.00,25,180.00,110
2021-08-19,Thursday,August,2021,33,965.6,351.0,245.00,88,543.00,39,471.60,166,432.00,35,169.60,74
2021-08-20,Friday,August,2021,33,1009.8,360.0,251.00,80,249.70,19,440.20,170,249.70,19,171.60,73
2021-08-21,Saturday,August,2021,33,1292.8,457.0,352.40,110,475.00,37,645.80,221,448.50,33,214.00,109
2021-08-22,Sunday,August,2021,33,882.0,307.0,306.00,95,269.50,18,502.40,179,269.50,18,103.60,42
2021-08-23,Monday,August,2021,34,891.6,332.0,197.80,66,283.00,20,475.20,170,283.00,20,142.80,68
2021-08-24,Tuesday,August,2021,34,994.0,352.0,256.70,87,282.50,22,563.60,197,264.50,21,175.20,73
2021-08-25,Wednesday,August,2021,34,1162.6,426.0,252.40,87,321.50,25,533.60,184,301.50,23,209.80,109
2021-08-26,Thursday,August,2021,34,697.4,257.0,221.80,72,161.50,10,385.20,118,126.50,9,135.60,78
2021-08-27,Friday,August,2021,34,1095.6,390.0,338.40,103,414.90,30,498.20,171,414.90,30,210.20,78
2021-08-28,Saturday,August,2021,34,1091.0,379.0,392.80,120,408.50,30,521.00,168,408.50,30,226.40,97
2021-08-29,Sunday,August,2021,34,717.2,275.0,224.20,65,152.00,12,361.40,136,152.00,12,116.40,49
2021-08-30,Monday,August,2021,35,722.6,262.0,171.40,56,399.00,29,414.00,149,343.00,26,139.40,62
2021-08-31,Tuesday,August,2021,35,837.6,341.0,161.00,56,392.00,24,387.20,148,287.00,19,175.80,96
2021-09-01,Wednesday,September,2021,35,1004.2,386.0,222.60,76,288.50,17,522.40,203,232.50,15,209.80,98
2021-09-02,Thursday,September,2021,35,985.8,403.0,227.00,76,240.00,20,371.60,174,240.00,20,156.60,82
2021-09-03,Friday,September,2021,35,1075.6,405.0,312.80,97,193.70,16,424.60,172,193.70,16,171.20,76
2021-09-04,Saturday,September,2021,35,1423.4,560.0,381.80,114,355.00,25,688.00,272,310.00,21,260.80,117
2021-09-05,Sunday,September,2021,35,1212.8,465.0,381.60,107,144.00,11,621.40,238,144.00,11,194.40,93
2021-09-06,Monday,September,2021,36,1003.2,348.0,195.20,65,390.90,28,387.60,131,390.90,28,163.40,72
2021-09-07,Tuesday,September,2021,36,918.0,336.0,238.20,80,259.00,15,434.20,171,214.50,12,154.40,70
2021-09-08,Wednesday,September,2021,36,808.2,299.0,215.80,72,195.30,15,315.20,129,167.30,14,158.60,73
2021-09-09,Thursday,September,2021,36,926.4,328.0,248.80,83,253.40,18,402.20,149,222.50,16,185.00,74
2021-09-10,Friday,September,2021,36,900.0,340.0,243.20,75,339.30,27,431.80,158,339.30,27,171.00,75
2021-09-11,Saturday,September,2021,36,1359.0,562.0,366.60,117,395.00,27,687.20,284,376.00,25,227.20,103
